,latitude,longitude,name
328,-54.5,158.9,Macquarie Island*
1535,-53.0,-70.85,Punta Arenas
1903,-54.8,-68.3167,Ushuaia Aerodrome
2264,-53.8,-67.75,Rio Grande B. A.
2981,-51.6167,-69.2833,Rio Gallegos Aerodrome
3345,-49.3167,-67.75,San Julian Aerodrome
3656,-27.15,-109.4167,Isla De Pascua
3706,-47.7333,-65.9167,Puerto Deseado Aerodrome
4056,-48.7833,-70.1667,Gobernador Gregores Aerodrome
4775,-46.5167,-71.0167,Perito Moreno Aerodrome
4778,-45.7833,-67.5,Comodoro Rivadavia Aerodrome
5133,-45.9167,-71.6833,Balmaceda
5492,-45.5833,-72.1167,Coyhaique
5853,-43.8167,-68.8833,Paso De Indios
5857,-43.2,-65.2667,Trelew Aerodrome
6211,-42.9333,-71.15,Esquel Aerodrome
6221,-40.85,-63.0167,Viedma Aerodrome
6568,-41.4167,-73.0833,Puerto Montt
6928,-41.15,-71.1667,Bariloche Aerodrome
6934,-40.7833,-65.1,San Antonio Oeste Aerodrome
6941,-38.3333,-60.25,Tres Arroyos
7029,-33.9833,25.6,"Port Elizabeth, Port E Apt"
7282,-39.6167,-73.0833,Valdivia
7290,-38.95,-68.1333,Neuquen Aerodrome
7298,-38.7333,-62.1667,Bahia Blanca Aerodrome
7645,-38.75,-72.6333,Temuco
7751,-33.0333,27.8333,East London Airport
7999,-36.7667,-73.05,Concepcion
8014,-37.6,-62.3833,Pigue Aerodrome
8018,-37.2333,-59.25,Tandil Aerodrome
8019,-37.9333,-57.5833,Mar Del Plata Aerodrome
8113,-31.6333,29.55,Port St Johns
8222,-38.0,145.1,Moorabbin Airport
8364,-36.5667,-72.0333,Chillan
8366,-35.5,-69.5833,Malargue Aerodrome
8370,-36.5667,-64.2667,Santa Rosa Aerodrome
8378,-36.35,-57.7333,Dolores Aerodrome
8728,-34.5833,-68.4,San Rafael Aerodrome
8731,-35.7,-63.75,General Pico Aerodrome
8733,-35.8667,-61.9,Pehuajo Aerodrome
8838,-25.0333,46.95,Fort-Dauphin
8944,-36.2,149.1,Cooma
9081,-34.9667,-71.2333,Curico
9088,-33.7333,-65.3833,Villa Reynolds Aerodrome
9091,-34.1333,-63.3667,Laboulaye
9093,-34.55,-60.9167,Junin Aerodrome
9095,-34.8167,-58.5333,Ezeiza Aerodrome
9096,-34.9667,-57.9,La Plata Aerodrome
9098,-34.8333,-56.0,Carrasco
9298,-34.6,143.6,Balranald
9301,-35.2,147.5,Wagga Wagga
9446,-33.2667,-66.35,San Luis Aerodrome
9455,-34.45,-57.8333,Colonia
9532,-33.9833,18.6,Cape Town Airport
9679,-29.0,167.9,Norfolk Island
9716,-23.35,-149.4833,Tubuai
9804,-33.0833,-68.4167,San Martin
9807,-33.1167,-64.2333,Rio Cuarto Aerodrome
9809,-32.7,-62.15,Marcos Juarez Aerodrome
9811,-32.9167,-60.7833,Rosario Aerodrome
9813,-33.0,-58.6167,Gualeguaychu Aerodrome
9814,-33.25,-58.0667,Mercedes
10004,-32.1,133.6,Thevenard
10009,-33.1,137.5,Whyalla
10023,-32.8,151.3,Cessnock Airport
10052,-29.25,-177.9167,"Raoul Island, Kermadec Island"
10162,-31.5667,-68.8667,San Juan Aerodrome
10165,-31.95,-65.1333,Villa Dolores Aerodrome
10167,-31.6667,-63.8833,Pilar Observatorio
10171,-31.7833,-60.4833,Parana Aerodrome
10175,-31.7,-55.9833,Tacuarembo
10176,-32.3667,-54.2167,Melo
10251,-31.4667,19.7667,Calvinia
10252,-31.9167,21.5167,Fraserburg
10266,-29.9667,30.95,"Durban, Durban International Airport"
10294,-19.6833,63.4167,Rodrigues
10525,-31.3167,-64.2167,Cordoba Aerodrome
10528,-29.8833,-61.95,Ceres Aerodrome
10532,-31.3,-58.0167,Concordia Aerodrome
10652,-20.4333,57.6667,Plaisance Mauritius
10711,-30.8,121.5,Kalgoorlie-Boulder
10726,-31.2,136.8,Woomera
10728,-30.6,138.4,Leigh Creek
10873,-29.9,-71.2,La Serena
10882,-29.3833,-66.8167,La Rioja Aero.
10884,-29.9,-63.6833,Villa De Maria Del Rio Seco
10967,-29.6667,17.8667,Springbok
10990,-23.3833,43.7333,Tulear
11242,-28.6,-65.7667,Catamarca Aero.
11251,-29.6833,-57.15,Paso De Los Libres Aerodrome
11328,-28.4,21.2667,"Upington, Up-Apt"
11333,-28.8,24.7667,"Kimberley, Kim-Apt"
11334,-29.1,26.3,"Bloemfontein, Bloemfontein Airport"
11422,-28.8,114.7,Geraldton Airport
11450,-29.4,142.1,Tibooburra Airport
11462,-28.8,153.6,Ballina
11605,-26.8167,-60.45,Presidencia Roque Saenz Pena Aerodrome
11607,-27.45,-59.05,Resistencia Aero.
11609,-27.45,-58.7667,Corrientes Aero.
11611,-27.3667,-55.9667,Posadas Aero.
11705,-23.8667,35.3833,Inhambane
11814,-28.0167,147.4667,Bollon
11821,-28.2,153.5,Coolangatta
11968,-26.85,-58.3167,Pilar
11970,-27.3167,-55.8333,Encarnacion
12050,-26.95,24.6333,Vryburg
12060,-25.9167,32.5667,Maputo / Mavalane
12061,-25.05,33.6333,Xai Xai
12144,-26.6,118.5,Meekatharra
12156,-25.2,131.0,Yulara
12164,-25.9,139.3,Birdsville
12172,-26.4,146.3,Charleville
12318,-24.85,-65.4833,Salta Aerodrome
12322,-24.1667,-62.9,Rivadavia
12326,-26.2,-58.2333,Formosa Aerodrome
12330,-25.7333,-54.4667,Iguazu Aerodrome
12410,-25.7833,25.5333,Mafikeng Intl. Ad
12411,-26.1331,26.1669,Lichtenburg / Ooseinde
12680,-24.3833,-65.0833,Jujuy Aerodrome
12683,-24.7,-60.5833,Las Lomitas
12686,-25.2667,-57.6333,Asuncion / Aeropuerto
12856,-24.9,113.7,Carnarvon
12879,-23.8,133.9,Alice Springs Airport
12883,-24.4,139.5,Bedourie
12889,-24.4,145.4,Blackall
12896,-24.9,152.3,Bundaberg
13023,-23.4333,-70.4333,Antofagasta
13039,-23.15,-64.3167,Oran Aerodrome
13056,-23.6167,-46.65,Sao Paulo/Congonhas Aeroporto
13248,-23.6,145.3,Barcaldine
13254,-23.9,151.2,Gladstone Airport
13395,-22.1,-65.6,La Quiaca Observatorio
13399,-22.65,-63.8167,Tartagal Aerodrome
13402,-22.0167,-60.6,Mariscal Estigarribia
13411,-23.3333,-51.1333,Londrina Aeroporto
13415,-23.0,-47.1333,Campinas Aeroporto
13417,-22.7833,-45.2,Guaratingueta
13572,-22.2,114.1,Learmonth
13601,-22.9167,139.9,Boulia
13606,-23.4,144.3,Longreach
13756,-21.55,-64.7,Tarija
13757,-21.95,-63.65,Yacuiba
13774,-21.9833,-47.3333,Pirassununga
13842,-21.7,21.65,Ghanzi
13848,-21.2167,27.5,Francistown
13855,-22.0,35.3167,Vilanculos
13868,-21.45,47.1,Fianarantsoa
13870,-21.2,48.3667,Mananjary
14088,-13.75,-76.2833,Pisco
14104,-20.5333,-70.1833,Iquique / Diego Arac
